Movie,Co-Producing Countries,Genre,Production Budget ($),Worldwide Box Office to Date ($),Trailer
What Lies Below,United States,Thriller/Suspense,21500000.0,21567,No Trailer
Agent Toby Barks,United States,Adventure,21500000.0,21300,No Trailer
The Pale Door,United States,Horror,21500000.0,21166,No Trailer
Lore,United States,Thriller/Suspense,21500000.0,20006,No Trailer
Quarantine Cat Film Fest,United States,Documentary,21500000.0,20000,No Trailer
Foster Boy,United States,Drama,21500000.0,19046,No Trailer
Seized,United States,Action,21500000.0,18973,No Trailer
I Used to Go Here,United States,Romantic Comedy,21500000.0,18340,No Trailer
Ravage,United States,Horror,21500000.0,18311,No Trailer
La cinta de Alex,"India,Spain,United States",Drama,21500000.0,18303,No Trailer
Bull,United States,Drama,21500000.0,17424,No Trailer
Everything - The Real Thing Story,United States,Documentary,21500000.0,17088,No Trailer
A Wakefield Project,United States,Horror,21500000.0,15772,No Trailer
Killer Raccoons 2: Dark Christmas in the Dark,United States,Comedy,21500000.0,15427,No Trailer
Warren Miller's Timeless,United States,Documentary,21500000.0,15114,No Trailer
Emily and the Magical Journey,"Sweden,United Kingdom,United States",Adventure,21500000.0,14372,No Trailer
Widow’s Point,United States,Thriller/Suspense,21500000.0,13816,No Trailer
Pahokee,United States,Documentary,21500000.0,13250,No Trailer
Portal,United States,Horror,21500000.0,12834,No Trailer
Still Here,United States,Drama,21500000.0,11984,No Trailer
Show Me The Picture: The Story Of Jim Marshall,"United Kingdom,United States",Documentary,21500000.0,11699,No Trailer
Powerbomb,United States,Thriller/Suspense,21500000.0,11319,No Trailer
Lost in America,United States,Documentary,21500000.0,11301,No Trailer
Disturbing the Peace,United States,Action,21500000.0,11227,No Trailer
Proximity,United States,Drama,21500000.0,10667,No Trailer
Robot Riot,United States,Action,21500000.0,10532,No Trailer
Circles: The Restorative Justice Project,United States,Documentary,21500000.0,10260,No Trailer
Coded Bias,"China,United Kingdom,United States",Documentary,21500000.0,10236,No Trailer
Guest Artist,United States,Drama,21500000.0,10017,No Trailer
Foosballers,United States,Documentary,21500000.0,9966,No Trailer
Just One More Kiss,United States,Drama,21500000.0,9130,No Trailer
You’re Not Alone,United States,Horror,21500000.0,8505,No Trailer
LX 2048,"Lithuania,United States",Thriller/Suspense,21500000.0,8388,No Trailer
Inside the Rain,United States,Romantic Comedy,21500000.0,8140,https://www.the-numbers.com/movie/Inside-the-Rain#tab=trailer
The Wave,United States,Thriller/Suspense,21500000.0,8101,No Trailer
Game of Death,"Canada,France,United States",Thriller/Suspense,21500000.0,8005,No Trailer
The Other Lamb,"Belgium,Ireland,United States",Drama,21500000.0,7507,No Trailer
Jiu Jitsu,United States,Action,21500000.0,7427,No Trailer
What We Found,United States,Thriller/Suspense,21500000.0,6975,No Trailer
I Am Lisa,United States,Horror,21500000.0,6949,No Trailer
12 Hour Shift,United States,Thriller/Suspense,21500000.0,6820,No Trailer
Human Capital,"Italy,United States",Drama,21500000.0,6596,No Trailer
Afterward,United States,Documentary,21500000.0,6477,No Trailer
Bang! Bang!,"Brazil,United States",Drama,21500000.0,6390,No Trailer
Blood Widow,United States,Thriller/Suspense,21500000.0,6047,No Trailer
Pretty Strong,United States,Documentary,21500000.0,6024,No Trailer
Evergreen,United States,Drama,21500000.0,6023,No Trailer
Sex and the Future,United States,Comedy,21500000.0,5727,No Trailer
The Immortal Wars: Resurgence,United States,Action,21500000.0,5116,No Trailer
Last Call,United States,Drama,21500000.0,4894,No Trailer
Dino Brained,United States,Adventure,21500000.0,4853,No Trailer
Farewell Amor,United States,Drama,21500000.0,4689,No Trailer
No Ordinary Love,United States,Thriller/Suspense,21500000.0,4656,No Trailer
"Monero Means Money: Cryptocurrency 101, Live from Leipzig",United States,Documentary,21500000.0,4470,No Trailer
The Shade Shepherd,United States,Thriller/Suspense,21500000.0,4409,No Trailer
The Mystery of D.B. Cooper,United States,Documentary,21500000.0,4222,No Trailer
Unexpected Modernism: The Architecture of the Wiener Brothers,United States,Documentary,21500000.0,4145,No Trailer
Critical Thinking,United States,Drama,21500000.0,4144,No Trailer
Dear Santa,United States,Documentary,21500000.0,4109,No Trailer
Straight Up,United States,Romantic Comedy,21500000.0,4075,No Trailer
"Amigo Skate, Cuba","Cuba,United States",Documentary,21500000.0,4019,No Trailer
"Family Romance, LLC.",United States,Drama,21500000.0,3829,No Trailer
King’s Gambit,United States,Thriller/Suspense,21500000.0,3816,No Trailer
The Quarry,United States,Thriller/Suspense,21500000.0,3671,https://www.the-numbers.com/movie/Quarry-The-(2020)#tab=trailer
REAL,United States,Drama,21500000.0,3568,No Trailer
Agent Jade Black,United States,Action,21500000.0,3474,No Trailer
Rebuilding Paradise,United States,Documentary,21500000.0,3404,No Trailer
Robin’s Wish,United States,Documentary,21500000.0,3296,No Trailer
Paper Champions,United States,Comedy,21500000.0,3036,No Trailer
Mr. Soul!,United States,Documentary,21500000.0,2574,No Trailer
Horror Nights,United States,Horror,21500000.0,2415,No Trailer
2177: The San Francisco Love Hacker Crimes,United States,Drama,21500000.0,2349,No Trailer
The Transcendents,United States,Thriller/Suspense,21500000.0,2041,No Trailer
Cancion sin nombre,"Chile,Peru,Spain,United States",Drama,21500000.0,2017,No Trailer
The Surrogate,United States,Drama,21500000.0,1988,No Trailer
Tales from the Rabbit Hole: A Curious Kitsch Novel,"Portugal,United States",Comedy,21500000.0,1898,No Trailer
All I Can Say,United States,Documentary,21500000.0,1689,No Trailer
The Fox Hunter,United States,Comedy,21500000.0,1577,No Trailer
Totally Under Control,United States,Documentary,21500000.0,1464,No Trailer
The 2nd,United States,Action,21500000.0,1393,No Trailer
